REPORTING_PERIOD,YOA,CURRENCY_CODE,DURG_CLASS,EarnedEPI,EPILeft,LODCMD_Pct,Renewals_Pct
2006Q3,1993,CCY_1,DURG_5,2299256.959,0,0.319727891,0.802721088
2006Q3,1993,CCY_1,DURG_10,3690234.517,0,0.959885387,0.467048711
2006Q3,1993,CCY_1,DURG_8,5126443.083,0,0.967611336,0.526315789
2006Q3,1993,CCY_1,DURG_9,5399702.454,0,0,0.548387097
2006Q3,1993,CCY_1,DURG_6,99349263.3,0,0.897364771,0.418862691
2006Q3,1993,CCY_1,DURG_1,231012.1214,0,0,0.333333333
2006Q3,1993,CCY_1,DURG_7,557887.6796,0,0.060606061,0.818181818
2006Q3,1993,CCY_1,DURG_3,3251753.381,0,0,0.725663717
2006Q3,1994,CCY_1,DURG_5,2289165.429,0,0.487179487,0.602564103
2006Q3,1994,CCY_1,DURG_10,3970288.994,0,0.961651917,0.480825959
2006Q3,1994,CCY_1,DURG_8,15014068.06,0,0.968871595,0.525291829
2006Q3,1994,CCY_1,DURG_9,701009.4565,0,0,0.666666667
2006Q3,1994,CCY_1,DURG_6,14724674.62,0,0.951530612,0.3125
2006Q3,1994,CCY_1,DURG_1,5441213.457,0,0,0.681818182
2006Q3,1994,CCY_1,DURG_7,793460.5658,0,0.208333333,0.5
2006Q3,1994,CCY_1,DURG_3,2489256.789,0,0.073529412,0.75
2006Q3,1995,CCY_1,DURG_5,1663869.72,0,0.694214876,0.41322314
2006Q3,1995,CCY_1,DURG_10,5242213.491,0,0.958208955,0.591044776
2006Q3,1995,CCY_1,DURG_8,6305144.591,0,0.950207469,0.518672199
2006Q3,1995,CCY_1,DURG_9,1460023.317,0,0,0.388888889
2006Q3,1995,CCY_1,DURG_6,10916079.49,0,0.960446247,0.393509128
2006Q3,1995,CCY_1,DURG_1,11473431.92,0,0,0.656716418
2006Q3,1995,CCY_1,DURG_7,1187676.224,0,0.486486486,0.432432432
2006Q3,1995,CCY_1,DURG_3,2016682.139,0,0.095238095,0.793650794
2006Q3,1995,CCY_1,DURG_4,634407.6895,0,1,1
2006Q3,1996,CCY_1,DURG_5,3770651.35,0,0.615384615,0.544871795
2006Q3,1996,CCY_1,DURG_10,3557868.024,0,0.950191571,0.61302682
2006Q3,1996,CCY_1,DURG_8,6138842.258,0,0.933014354,0.56937799
2006Q3,1996,CCY_1,DURG_9,2428529.594,0,0,0.538461538
2006Q3,1996,CCY_1,DURG_6,13972625.73,0,0.953093812,0.471057884
2006Q3,1996,CCY_1,DURG_1,20459681.41,0,0,0.393700787
2006Q3,1996,CCY_1,DURG_7,4229054.319,0,0.41025641,0.397435897
2006Q3,1996,CCY_1,DURG_3,1634407.409,0,0.180722892,0.530120482
2006Q3,1996,CCY_1,DURG_4,21203897.68,0,1,0.779109589
2006Q3,1997,CCY_1,DURG_5,3731136.815,0,0.609756098,0.676829268
2006Q3,1997,CCY_1,DURG_10,2368178.591,0,0.904522613,0.638190955
2006Q3,1997,CCY_1,DURG_8,3222838.602,0,0.941520468,0.643274854
2006Q3,1997,CCY_1,DURG_9,1635936.074,0,0,0.6
2006Q3,1997,CCY_1,DURG_6,6993416.874,0,0.92987013,0.525974026
2006Q3,1997,CCY_1,DURG_1,11647245.25,0,0,0.575418994
2006Q3,1997,CCY_1,DURG_7,5679082.691,0,0.417322835,0.456692913
2006Q3,1997,CCY_1,DURG_3,2012790.43,0,0.24691358,0.666666667
2006Q3,1997,CCY_1,DURG_4,22704466.09,0,1,0.790322581
2006Q3,1998,CCY_1,DURG_5,4039989.721,0,0.656,0.752
2006Q3,1998,CCY_1,DURG_10,1277847.491,0,0.908256881,0.834862385
